"Name","Path","Score","PointerLock","RawInput","VirtualCrosshair","Sensitivity","ProCrosshair","Analytics","DocumentClick","CleanFullscreen"
"AwarenessDrill",".\app\drills\fps\180-degree-awareness\AwarenessDrillClient.js","5","True","True","True","False","True","False","True","True"
"ReactionDrill",".\app\drills\fps\240fps-click-test\ReactionDrillClient.js","6","True","True","True","False","True","True","True","True"
"ClinicalGrayGrid",".\app\drills\fps\clinical-gray-grid\ClinicalGrayGridClient.js","6","True","True","True","False","True","True","True","True"
"FlickShot240",".\app\drills\fps\flick-shot-240fps\FlickShot240Client.js","6","True","True","True","False","True","True","True","True"
"ProFlick",".\app\drills\fps\flick-shot-training\ProFlickClient.js","7","True","True","True","True","True","True","True","True"
"AnchorFlick",".\app\drills\fps\flick-training\AnchorFlickClient.js","6","True","True","True","False","True","True","True","True"
"KineticTrainer",".\app\drills\fps\high-speed-kinetic-trainer\KineticTrainerClient.js","5","True","True","True","False","True","False","True","True"
"InstantResponse",".\app\drills\fps\instant-response\InstantResponseClient.js","5","True","True","True","False","True","False","True","True"
"MapPrediction",".\app\drills\fps\map-prediction\MapPredictionClient.js","5","True","True","True","False","True","False","True","True"
"PeripheralAwareness",".\app\drills\fps\peripheral-awareness\PeripheralAwarenessClient.js","5","True","True","True","False","True","False","True","True"
"PredictiveTracking",".\app\drills\fps\predictive-tracking\PredictiveTrackingClient.js","5","True","True","True","False","True","False","True","True"
"AimTrainer",".\app\drills\motor\hand-eye-coordination\aim-trainer\AimTrainerClient.js","6","True","True","True","False","True","True","True","True"
"ClickAccuracy",".\app\drills\motor\hand-eye-coordination\click-accuracy\ClickAccuracyClient.js","6","True","True","True","False","True","True","True","True"
"SwitchCostIntegrator",".\app\drills\productivity\task-switching\switch-cost\SwitchCostIntegratorClient.js","5","True","True","True","False","True","False","True","True"
"PrioritySorting",".\app\drills\productivity\time-management\priority-sorting\PrioritySortingClient.js","5","True","True","True","False","True","False","True","True"
